espn_athlete_id,player_name,projected_pick
5142718,AJ Dybantsa,1
5041955,Darryn Peterson,2
5041935,Cameron Boozer,3
5101761,Mikel Brown Jr.,9
5175737,Yaxel Lendeborg,12
5174983,Aday Mara,14
5196916,Braylon Mullins,17
5101845,Jayden Quaintance,20
5061585,Isaiah Evans,21
4873153,Morez Johnson Jr.,27
5287474,Dame Sarr,31
4873209,Patrick Ngongba II,34
4917149,Alex Karaban,36
5105809,Tarris Reed Jr.,42
5107157,Ryan Conwell,46
5044426,Flory Bidunga,50
5105462,Richie Saunders,56
5101849,Malachi Moreno,60
5107804,Miles Byrd,61
4895737,Solo Ball,68
4683769,Kwame Evans Jr.,73
5105337,Maliq Brown,77
5105643,Tre White,87
5106270,Otega Oweh,93
4432586,Nate Bittle,95
